G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
erschweren;hinder;790;-1.14;0.58;5.95;1.32;3.45;0.72;4.75;1.47;5.38;1.33;2.81;1.54;248.00;0.94;10;3;V;0;0;0.00;0.00
Ferien;holiday;791;2.60;0.52;3.50;2.26;2.29;1.21;6.44;1.90;5.08;1.53;4.44;1.74;648.00;12.17;6;3;S;0;0;0.00;0.00
Honig;honey;792;1.80;0.77;3.30;1.72;1.56;0.81;4.75;2.26;4.00;1.66;5.68;1.39;165.00;6.81;5;2;S;1;0;0.00;0.00
Nutte;hooker;793;-0.84;1.08;6.30;2.03;3.83;0.93;5.25;1.82;4.83;1.70;6.09;1.09;25.00;16.46;5;2;S;2;1;1.17;1.17
Hoffnung;hope;794;2.20;1.14;4.75;2.31;2.61;1.33;6.75;1.69;6.05;2.19;2.00;1.22;4096.00;63.27;8;2;S;0;0;0.00;0.00
Hotel;hotel;795;1.15;0.99;4.00;1.59;2.50;1.10;5.00;1.41;4.68;1.61;5.55;1.18;2991.00;78.94;5;2;S;2;0;1.67;3.00
human;humane;796;1.90;0.74;4.15;1.69;2.05;0.94;5.81;1.37;5.43;1.81;2.67;1.00;4171.00;1.61;5;1;S;0;0;0.00;0.00
demütigen;humiliate;797;-1.80;1.74;6.60;1.27;3.85;0.78;4.63;2.14;4.25;2.27;3.52;1.50;63.00;4.02;9;4;V;0;0;0.00;0.00
Hurrikan;hurricane;798;-1.38;1.26;7.35;1.66;4.12;0.77;3.06;2.17;6.95;1.57;5.85;0.93;368.00;2.36;8;3;S;0;0;0.00;0.00
Kühlschrank;icebox;799;0.87;1.25;3.60;1.50;2.23;1.18;5.19;1.62;5.20;1.44;6.80;0.52;239.00;18.47;11;2;S;0;0;0.00;0.00
Idee;idea;800;1.53;0.99;5.70;1.72;2.96;1.22;6.38;1.24;5.13;1.86;2.50;1.99;4786.00;228.63;4;2;S;1;0;0.00;0.00
Identität;identity;801;1.38;1.20;5.35;1.35;2.85;1.05;6.00;1.57;6.18;1.47;2.75;1.94;1241.00;15.71;9;4;S;0;0;0.00;0.00
Idol;idol;802;0.73;1.44;5.10;1.59;2.81;0.94;5.25;1.21;5.73;1.43;3.20;1.79;218.00;1.77;4;2;S;0;0;0.00;0.00
Ignoranz;ignorance;803;-2.14;1.10;6.75;1.41;3.15;1.16;4.69;1.73;5.80;1.71;2.55;1.73;185.00;1.22;8;3;S;1;1;0.33;0.33
Gebrechen;illness;804;-1.60;1.06;5.85;1.31;3.00;1.06;3.88;1.48;5.13;1.54;3.55;1.50;39.00;0.28;9;3;S;1;1;12.00;12.00
vorstellen;imagine;805;1.56;0.93;4.65;1.73;2.53;1.02;6.13;1.21;4.83;1.36;3.42;2.18;2776.00;101.85;10;3;V;1;0;6.33;6.33
unreif;immature;806;-1.13;0.89;5.10;1.74;2.85;1.16;5.69;1.78;3.79;1.69;3.43;1.25;16.00;2.40;6;2;A;1;1;2.00;2.00
unmoralisch;immoral;807;-1.60;1.45;6.45;1.47;3.54;0.95;5.25;1.79;5.35;1.91;2.86;1.39;72.00;2.68;11;4;A;0;0;0.00;0.00
befallen;impair;808;-1.40;0.97;5.70;1.22;3.33;1.12;4.06;1.17;6.00;1.90;2.89;1.05;390.00;2.20;8;3;V;2;1;67.67;67.67
Anreiz;incentive;809;1.30;0.66;5.95;1.54;3.74;1.10;5.38;0.80;5.58;1.24;2.27;1.42;341.00;1.69;6;2;S;0;0;0.00;0.00
gleichgültig;indifferent;810;-1.00;1.20;3.35;1.87;2.12;0.91;5.38;0.88;3.84;1.92;3.19;1.17;246.00;4.92;12;3;A;0;0;0.00;0.00
minderwertig;inferior;812;-1.80;1.01;6.50;1.19;3.50;1.07;4.38;1.58;5.25;1.84;2.20;1.47;15.00;0.59;12;4;A;0;0;0.00;0.00
Einwohner;inhabitant;813;0.07;0.26;4.05;1.79;2.19;1.02;4.94;0.89;4.38;1.29;4.25;1.92;1939.00;7.40;9;3;S;1;0;0.00;0.00
unschuldig;innocent;814;0.53;1.06;4.30;1.53;2.42;1.03;5.44;1.18;4.75;1.92;2.35;1.76;333.00;28.07;10;3;A;0;0;0.00;0.00
wahnsinnig;insane;815;-1.03;1.49;6.55;1.05;3.80;0.83;4.38;2.19;6.45;1.24;3.67;1.65;269.00;35.40;10;3;A;0;0;0.00;0.00
wahnsinnig;insane;815;-1.03;1.49;6.55;1.05;3.80;0.83;4.38;2.19;6.45;1.24;3.67;1.65;1.00;35.40;10;3;A;0;0;0.00;0.00
